ArtistID,ArtistName,ArtistType,ArtistCategory
774,劉藍溪,女藝人,A
775,盧巧音 Candy Lo,女藝人,A
776,盧瑮莉,女藝人,A
777,盧靜子,女藝人,A
778,賴芊合 SALEM,女藝人,A
779,龍飄飄,女藝人,A
780,藍婷 Lan Ting,女藝人,A
781,藍嵐,女藝人,A
782,藍聖文,女藝人,A
783,羅小白,女藝人,A
784,羅敏莊 Mimi Lo,女藝人,A
785,羅莎莎,女藝人,A
786,羅琦,女藝人,A
787,蘿拉 Lola,女藝人,A
788,井柏然＆郭書瑤,女藝人,A
789,古璇,女藝人,A
790,高勝美,女藝人,A
791,高薇芯,女藝人,A
792,郭采潔,女藝人,A
793,郭美美,女藝人,A
794,郭修彧,女藝人,A
795,郭曉曉 Xiaoxiao Kuo,女藝人,A
796,郭靜 Claire,女藝人,A
797,葛仲珊 MISS KO,女藝人,A
798,關菊英,女藝人,A
799,關詩敏,女藝人,A
800,關穎,女藝人,A
801,龔玥,女藝人,A
802,孔晨羽,女藝人,A
803,侃侃,女藝人,A
804,柯以敏 Mindy Quah,女藝人,A
805,柯泯薰,女藝人,A
806,愷樂 Butterfly,女藝人,A
807,何天慈,女藝人,A
808,何以奇,女藝人,A
809,何伶,女藝人,A
810,何念茲,女藝人,A
811,何欣穗 ciacia,女藝人,A
812,何芸娜,女藝人,A
813,何嘉文,女藝人,A
814,何韻詩,女藝人,A
815,虎子 王娟,女藝人,A
816,洪小喬,女藝人,A
817,洪安妮,女藝人,A
